Concurso;Data Sorteio;Dezena_1;Dezena_2;Dezena_3;Dezena_4;Dezena_5;Dezena_6;Arrecadacao_Total;Ganhadores_Sena;Cidade;UF;Rateio_Sena;Ganhadores_Quina;Rateio_Quina;Ganhadores_Quadra;Rateio_Quadra;Acumulado;Valor_Acumulado;Estimativa_Prêmio;Acumulado_Mega_da_Virada
156;27/02/1999;52;23;42;17;55;49;0;0;;;0;74;11.018,10;4455;183,02;SIM;978.407,41;0;0
157;03/06/99;17;13;4;44;41;21;0;1;;;2.140.030,92;134;7.224,03;8894;108,84;NÃO;0;0;0
158;13/03/1999;58;43;51;14;17;4;0;0;;;0;31;25.856,53;3630;220,81;SIM;961.863,12;0;0
159;20/03/1999;16;9;50;58;11;35;0;1;;PR;2.038.170,67;57;15.735,49;4124;217,49;NÃO;0;0;0
160;27/03/1999;13;42;52;58;2;54;0;0;;;0;74;19.431,89;6132;234,5;SIM;11.251.511,63;0;0
161;04/03/99;25;37;30;39;6;41;0;0;;;0;95;14.430,61;6865;199,69;SIM;12.896.601,04;0;0
162;04/10/99;23;33;51;38;48;21;0;0;;;0;92;20.941,30;7244;265,96;SIM;15.208.520,83;0;0
163;17/04/1999;41;56;27;36;53;8;0;2;;;8.975.833,36;146;15.657,23;10793;211,8;NÃO;0;0;0
164;24/04/1999;4;19;14;10;44;28;0;0;;;0;111;7.595,63;8386;100,54;SIM;1.011.737,90;0;0
165;05/01/99;39;56;19;23;10;35;0;2;;;1.044.444,54;75;11.968,35;5378;166,91;NÃO;0;0;0
166;05/08/99;60;57;59;13;12;22;0;0;;;0;47;17.424,67;3371;242,95;SIM;982.751,54;0;0
167;15/05/1999;1;38;48;28;11;33;0;1;;;2.100.980,21;82;11.364,11;4997;186,48;NÃO;0;0;0
168;22/05/1999;45;2;35;9;50;31;0;0;;;0;48;15.743,70;3528;214,2;SIM;906.836,93;0;0
169;29/05/1999;52;51;37;13;21;1;0;0;;;0;65;13.679,08;4489;198,07;SIM;1.973.804,91;0;0
170;06/05/99;7;51;55;41;58;46;0;0;;;0;50;32.383,95;6257;258,78;SIM;13.643.095,71;0;0
171;06/12/99;54;27;4;43;40;46;0;1;;;16.052.410,83;134;14.983,30;10378;193,46;NÃO;0;0;0
172;19/06/1999;49;36;14;26;35;10;0;0;;;0;64;13.460,12;4592;186,89;SIM;1.033.736,70;0;0
173;26/06/1999;29;28;49;17;42;50;0;1;;;2.148.316,42;40;23.220,41;3610;256,32;NÃO;0;0;0
